"","Tazas_por_dia","Rendimiento_con_cafe","Promedio_ponderado_2024_1","Apoyo_economico","Gasto_semanal_cafe","Lugar_compra_cafe"
"419",2,"Regular",14.3,"Ninguno",2,"Cafetería Artesanal"
"420",2,"Bueno",15.1,"Ninguno",0,"Hago mi propio café"
"421",NA,NA,NA,"Beca",NA,NA
"422",1,"Bueno",15.25,"Semi-beca",5,"Hago mi propio café"
"423",1,"Bueno",17.5,"Ninguno",20,"Hago mi propio café"
"424",3,"Bueno",14.5,"Semi-beca",20,"""Bodegas"" como Listo, Tambo, etc"
"425",NA,"Bueno",16.92,"Ninguno",1,"Hago mi propio café"
"426",3,"Regular",NA,"Ninguno",30,"Starbucks"
"427",NA,NA,NA,"Ninguno",NA,NA
"428",NA,NA,NA,"Ninguno",NA,NA
"429",3,"Regular",14.63,"Ninguno",30,"Hago mi propio café"
"430",1,"Bueno",16,"Beca",30,"Cafetería Artesanal"
"431",1,"Regular",11,"Ninguno",0,"Cafetería Artesanal"
"432",2,"Bueno",12,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"433",1,"Regular",16.6,"Ninguno",30,"Hago mi propio café"
"434",1,"Puede Mejorar",15.9,"Ninguno",1.5,"Hago mi propio café"
"435",1,"Bueno",16.8,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"436",NA,NA,NA,"Ninguno",NA,NA
"437",2,"Bueno",14.3,"Ninguno",8,"Starbucks"
"438",1,"Puede Mejorar",NA,"Ninguno",2,"Hago mi propio café"
"439",NA,NA,NA,"Ninguno",NA,NA
"440",1,"Bueno",13.7,"Ninguno",10,"Hago mi propio café"
"441",2,"Regular",12,"Ninguno",40,"Cafetería Artesanal"
"442",4,"Bueno",11,"Ninguno",30,"Cafetería Artesanal"
"443",NA,NA,NA,"Ninguno",NA,NA
"444",NA,NA,NA,"Ninguno",NA,NA
"445",NA,NA,NA,"Ninguno",NA,NA
"446",2,"Excelente",14.9,"Beca",8,"""Bodegas"" como Listo, Tambo, etc"
"447",2,"Excelente",18,"Beca",10,"""Bodegas"" como Listo, Tambo, etc"
"448",1,"Bueno",NA,"Ninguno",2,"Starbucks"
"449",2,"Bueno",16.21,"Beca",20,"Hago mi propio café"
"450",3,"Bueno",14,"Beca",50,"Cafetería Artesanal"
"451",2,"Bueno",17.65,"Ninguno",45,"Hago mi propio café"
"452",1,"Bueno",18.7,"Semi-beca",10,"Hago mi propio café"
"453",2,"Bueno",17.6,"Ninguno",25,"Hago mi propio café"
"454",1,"Puede Mejorar",15,"Ninguno",20,"Hago mi propio café"
"455",NA,NA,NA,"Ninguno",NA,NA
"456",1,"Regular",14,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"457",2,"Regular",NA,"Ninguno",30,"Cafetería Artesanal"
"458",1,"Bueno",11.8,"Ninguno",3,"Hago mi propio café"
"459",2,"Regular",14.34,"Ninguno",35,"Hago mi propio café"
"460",1,"Bueno",14.3,"Ninguno",0,"Hago mi propio café"
"461",1,"Regular",15.67,"Ninguno",10,"Hago mi propio café"
"462",3,"Regular",14.72,"Ninguno",15,"Hago mi propio café"
"463",NA,NA,NA,"Ninguno",NA,NA
"464",2,"Regular",NA,"Ninguno",15,"Cafetería Artesanal"
"465",1,"Bueno",12,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"466",10,"Excelente",17,"Beca",50,"""Bodegas"" como Listo, Tambo, etc"
"467",NA,"Regular",14.2,"Ninguno",2,"Cafetería Artesanal"
"468",2,"Bueno",14,"Ninguno",40,"Hago mi propio café"
"469",NA,"Excelente",18.2,"Ninguno",1.25,"""Bodegas"" como Listo, Tambo, etc"
"470",NA,NA,NA,"Semi-beca",NA,NA
"471",NA,NA,NA,"Ninguno",NA,NA
"472",NA,NA,NA,"Ninguno",NA,NA
"473",NA,NA,NA,"Ninguno",NA,NA
"474",NA,NA,NA,"Ninguno",NA,NA
"475",NA,NA,NA,"Beca",NA,NA
"476",NA,NA,NA,"Beca",NA,NA
"477",NA,NA,NA,"Ninguno",NA,NA
"478",NA,NA,NA,"Ninguno",NA,NA
"479",NA,NA,NA,"Ninguno",NA,NA
"480",2,"Bueno",16.31,"Ninguno",40,"""Bodegas"" como Listo, Tambo, etc"
"481",NA,NA,NA,"Beca",NA,NA
"482",NA,NA,NA,"Beca",NA,NA
"483",NA,NA,NA,"Ninguno",NA,NA
"484",3,"Excelente",15.6,"Ninguno",5,"Cafetería Artesanal"
"485",2,"Bueno",16.79,"Semi-beca",20,"""Bodegas"" como Listo, Tambo, etc"
"486",NA,NA,NA,"Ninguno",NA,NA
"487",NA,NA,NA,"Ninguno",NA,NA
"488",NA,NA,NA,"Ninguno",NA,NA
"489",1,"Puede Mejorar",17.2,"Ninguno",8,"Hago mi propio café"
"490",3,"Bueno",15.12,"Ninguno",45,"Starbucks"
"491",4,"Bueno",15,"Ninguno",5,"Hago mi propio café"
"492",1,"Bueno",11,"Ninguno",0,"Cafetería Artesanal"
"493",4,"Bueno",14.93,"Ninguno",48,"Hago mi propio café"
"494",NA,NA,NA,"Ninguno",NA,NA
"495",NA,NA,NA,"Ninguno",NA,NA
"496",3,"Bueno",14.5,"Ninguno",40,"Hago mi propio café"
"497",1,"Bueno",12,"Ninguno",14,"Starbucks"
"498",1,"Regular",15.3,"Beca",20,"Hago mi propio café"
"499",1,"Bueno",15.28,"Semi-beca",15,"""Bodegas"" como Listo, Tambo, etc"
"500",NA,NA,NA,"Ninguno",NA,NA
"501",NA,"Puede Mejorar",NA,"Beca",NA,"Starbucks"
"502",1,"Puede Mejorar",15,"Ninguno",0,"Starbucks"
"503",2,"Excelente",17.62,"Ninguno",15,"""Bodegas"" como Listo, Tambo, etc"
"504",NA,NA,NA,"Ninguno",NA,NA
"505",NA,NA,NA,"Beca",NA,NA
"506",NA,NA,NA,"Ninguno",NA,NA
"507",1,"Bueno",NA,"Semi-beca",40,"""Bodegas"" como Listo, Tambo, etc"
"508",3,"Bueno",16,"Ninguno",30,"Hago mi propio café"
"509",2,"Bueno",16.8,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"510",NA,NA,NA,"Ninguno",NA,NA
"511",NA,NA,NA,"Ninguno",NA,NA
"512",2,"Bueno",NA,"Ninguno",0,"Hago mi propio café"
"513",1,"Regular",13.65,"Ninguno",20,"Hago mi propio café"
"514",1,"Puede Mejorar",12,"Ninguno",30,"Hago mi propio café"
"515",NA,NA,NA,"Ninguno",NA,NA
"516",NA,NA,NA,"Ninguno",NA,NA
"517",1,"Puede Mejorar",12,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"518",NA,NA,NA,"Ninguno",NA,NA
"519",NA,NA,NA,"Ninguno",NA,NA
"520",2,"Excelente",15.85,"Ninguno",15,"""Bodegas"" como Listo, Tambo, etc"
"521",NA,NA,NA,"Ninguno",NA,NA
"522",3,"Bueno",13,"Ninguno",20,"Hago mi propio café"
"523",1,"Bueno",16,"Ninguno",0,"Hago mi propio café"
"524",NA,"Regular",14.1,"Ninguno",4,"Cafetería Artesanal"
"525",NA,NA,NA,"Ninguno",NA,NA
"526",1,"Bueno",12,"Ninguno",4,"""Bodegas"" como Listo, Tambo, etc"
"527",NA,NA,NA,"Beca",NA,NA
"528",4,"Bueno",13.87,"Ninguno",28,"Starbucks"
"529",2,"Regular",15.11,"Ninguno",16,"Cafetería Artesanal"
"530",4,"Bueno",16.91,"Beca",15,"""Bodegas"" como Listo, Tambo, etc"
"531",2,"Regular",13.26,"Ninguno",45,"Starbucks"
"532",2,"Bueno",15.08,"Ninguno",50,"""Bodegas"" como Listo, Tambo, etc"
"533",3,"Excelente",14.71,"Ninguno",60,"Starbucks"
"534",2,"Bueno",16.21,"Ninguno",60,"Cafetería Artesanal"
"535",2,"Regular",15.78,"Ninguno",32,"Starbucks"
"536",NA,NA,NA,"Beca",NA,NA
"537",2,"Puede Mejorar",16.21,"Ninguno",60,"Starbucks"
"538",2,"Bueno",15.43,"Ninguno",25,"Hago mi propio café"
"539",3,"Bueno",15.09,"Ninguno",30,"""Bodegas"" como Listo, Tambo, etc"
"540",1,"Regular",13.85,"Semi-beca",25,"""Bodegas"" como Listo, Tambo, etc"
"541",2,"Regular",14.03,"Ninguno",42,"Cafetería Artesanal"
"542",4,"Bueno",16.07,"Ninguno",65,"Starbucks"
"543",NA,"Bueno",16.81,"Ninguno",2,"Hago mi propio café"
"544",4,"Bueno",12,"Ninguno",60,"Cafetería Artesanal"
"545",5,"Regular",13,"Ninguno",60,"Cafetería Artesanal"
"546",1,"Regular",13.5,"Beca",0,"Hago mi propio café"
"547",2,"Bueno",NA,"Beca",10,"Hago mi propio café"
"548",2,"Regular",13.5,"Beca",10,"Hago mi propio café"
"549",10,"Excelente",NA,"Ninguno",200,"Cafetería Artesanal"
"550",2,"Bueno",15.6,"Semi-beca",4,"""Bodegas"" como Listo, Tambo, etc"
"551",2,"Bueno",14,"Ninguno",6,"""Bodegas"" como Listo, Tambo, etc"
"552",NA,NA,NA,"Beca",NA,NA
"553",NA,NA,NA,"Beca",NA,NA
"554",1,"Puede Mejorar",14,"Beca",2,"Hago mi propio café"
"555",3,"Bueno",15,"Ninguno",8,"Hago mi propio café"
"556",1,"Excelente",16.6,"Beca",10,"Hago mi propio café"
"557",1,"Puede Mejorar",12,"Beca",2,"Hago mi propio café"
"558",2,"Regular",12.89,"Ninguno",10,"Hago mi propio café"
"559",3,"Bueno",16,"Beca",0,"""Bodegas"" como Listo, Tambo, etc"
"560",NA,NA,NA,"Beca",NA,NA
"561",2,"Excelente",15,"Ninguno",40,"Starbucks"
"562",1,"Bueno",14.05,"Ninguno",15,"Hago mi propio café"
"563",NA,NA,NA,"Beca",NA,NA
"564",2,"Regular",13.3,"Ninguno",20,"Hago mi propio café"
"565",1,"Regular",14.5,"Ninguno",5,"Hago mi propio café"
"566",1,"Bueno",12,"Beca",2.5,"Hago mi propio café"
"567",1,"Regular",13,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"568",NA,NA,NA,"Ninguno",NA,NA
"569",NA,NA,NA,"Ninguno",NA,NA
"570",NA,NA,NA,"Ninguno",NA,NA
"571",NA,NA,NA,"Ninguno",NA,NA
"572",3,"Puede Mejorar",15,"Beca",14,"Hago mi propio café"
"573",3,"Regular",13,"Semi-beca",40,"Hago mi propio café"
"574",NA,NA,NA,"Beca",NA,NA
"575",NA,NA,NA,"Beca",NA,NA
"576",2,"Regular",11,"Ninguno",30,"""Bodegas"" como Listo, Tambo, etc"
"577",1,"Bueno",15,"Ninguno",20,"Starbucks"
"578",1,"Bueno",NA,"Ninguno",3,"Hago mi propio café"
"579",2,"Bueno",16.38,"Ninguno",0,"""Bodegas"" como Listo, Tambo, etc"
"580",2,"Regular",11,"Ninguno",15,"Hago mi propio café"
"581",NA,NA,NA,"Ninguno",NA,NA
"582",NA,"Puede Mejorar",NA,"Beca",1,"""Bodegas"" como Listo, Tambo, etc"
"583",2,"Bueno",15.45,"Semi-beca",20,"Cafetería Artesanal"
"584",NA,NA,NA,"Ninguno",NA,NA
"585",2,"Bueno",14,"Ninguno",12,"Hago mi propio café"
"586",2,"Bueno",13.77,"Ninguno",0,"Hago mi propio café"
"587",NA,NA,NA,"Beca",NA,NA
"588",2,"Bueno",14,"Ninguno",40,"Hago mi propio café"
"589",NA,NA,NA,"Semi-beca",NA,NA
"590",NA,NA,NA,"Ninguno",NA,NA
"591",NA,NA,NA,"Beca",NA,NA
"592",1,"Regular",16.74,"Ninguno",0,"Hago mi propio café"
"593",3,"Bueno",15,"Semi-beca",30,"Cafetería Artesanal"
"594",1,"Bueno",16.9,"Ninguno",0,"Hago mi propio café"
"595",NA,NA,NA,"Beca",NA,NA
"596",NA,NA,NA,"Ninguno",NA,NA
"597",2,"Bueno",NA,"Ninguno",50,"Hago mi propio café"
"598",3,"Bueno",14,"Ninguno",5,"Hago mi propio café"
"599",1,"Bueno",16.6,"Ninguno",4,"Hago mi propio café"
"600",NA,NA,NA,"Ninguno",NA,NA
"601",NA,NA,NA,"Beca",NA,NA
"602",3,"Puede Mejorar",14.6,"Beca",30,"Hago mi propio café"
"603",NA,NA,NA,"Ninguno",NA,NA
"604",4,"Bueno",15.66,"Ninguno",80,"""Bodegas"" como Listo, Tambo, etc"
"605",NA,NA,NA,"Ninguno",NA,NA
"606",1,"Bueno",16.3,"Ninguno",18,"Hago mi propio café"
"607",NA,NA,NA,"Ninguno",NA,NA
"608",1,"Bueno",15,"Ninguno",7.5,"Hago mi propio café"
"609",NA,"Bueno",13,"Ninguno",50,"Cafetería Artesanal"
"610",NA,NA,NA,"Semi-beca",NA,NA
"611",1,"Excelente",13,"Ninguno",5,"""Bodegas"" como Listo, Tambo, etc"
"612",1,"Bueno",17.2,"Ninguno",0,"Hago mi propio café"
"613",1,"Bueno",17,"Beca",8,"Hago mi propio café"
"614",1,"Bueno",14.65,"Ninguno",6,"Starbucks"
"615",1,"Bueno",14.38,"Ninguno",10,"Hago mi propio café"
"616",6,"Bueno",16,"Ninguno",100,"Starbucks"
"617",1,"Bueno",16.85,"Ninguno",5,"Hago mi propio café"
"618",1,"Bueno",16.71,"Ninguno",5,"Hago mi propio café"
"619",NA,"Bueno",10.8,"Ninguno",2.5,"Hago mi propio café"
"620",3,"Bueno",11,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"621",1,"Puede Mejorar",16,"Ninguno",25,"Hago mi propio café"
"622",4,"Bueno",15.2,"Beca",10,"Hago mi propio café"
"623",2,"Regular",15.4,"Ninguno",6,"Hago mi propio café"
"624",2,"Regular",16.8,"Ninguno",6,"Hago mi propio café"
"625",1,"Excelente",13.56,"Ninguno",3,"Starbucks"
"626",3,"Bueno",12.4,"Ninguno",3,"""Bodegas"" como Listo, Tambo, etc"
"627",NA,NA,NA,"Beca",NA,NA
"628",1,"Bueno",12,"Beca",2.5,"Hago mi propio café"
"629",1,"Bueno",17.4,"Ninguno",15,"Hago mi propio café"
"630",NA,NA,NA,"Ninguno",NA,NA
"631",1,"Bueno",13,"Ninguno",4,"""Bodegas"" como Listo, Tambo, etc"
"632",2,"Bueno",17,"Ninguno",24,"Cafetería Artesanal"
"633",NA,NA,NA,"Ninguno",NA,NA
"634",1,"Regular",15.4,"Beca",10,"Hago mi propio café"
"635",3,"Excelente",13,"Semi-beca",30,"Hago mi propio café"
"636",NA,NA,NA,"Ninguno",NA,NA
"637",2,"Bueno",12.7,"Ninguno",3,"Cafetería Artesanal"
"638",1,"Regular",14.6,"Ninguno",15,"""Bodegas"" como Listo, Tambo, etc"
"639",2,"Bueno",14.4,"Ninguno",35,"Starbucks"
"640",1,"Regular",15.2,"Ninguno",40,"Hago mi propio café"
"641",1,"Bueno",NA,"Semi-beca",15,"""Bodegas"" como Listo, Tambo, etc"
"642",1,"Bueno",14.5,"Beca",20,"Hago mi propio café"
"643",1,"Bueno",17,"Semi-beca",15,"Hago mi propio café"
"644",3,"Bueno",14.9,"Ninguno",15,"""Bodegas"" como Listo, Tambo, etc"
"645",2,"Bueno",11,"Ninguno",4,"Hago mi propio café"
"646",2,"Bueno",15.6,"Semi-beca",14,"Starbucks"
"647",2,"Bueno",16.2,"Ninguno",15,"""Bodegas"" como Listo, Tambo, etc"
"648",NA,NA,NA,"Semi-beca",NA,NA
"649",NA,NA,NA,"Ninguno",NA,NA
"650",NA,NA,NA,"Ninguno",NA,NA
"651",2,"Bueno",15.02,"Ninguno",35,"Hago mi propio café"
"652",1,"Bueno",15,"Ninguno",18,"Cafetería Artesanal"
"653",2,"Bueno",13.4,"Ninguno",80,"Starbucks"
"654",2,"Bueno",12,"Beca",4,"Hago mi propio café"
"655",1,"Regular",13.55,"Ninguno",0,"Hago mi propio café"
"656",NA,NA,NA,"Semi-beca",NA,NA
"657",3,"Bueno",12.45,"Semi-beca",20,"""Bodegas"" como Listo, Tambo, etc"
"658",2,"Bueno",14.7,"Semi-beca",15,"Hago mi propio café"
"659",NA,NA,NA,"Beca",NA,NA
"660",1,"Bueno",12.3,"Semi-beca",10,"""Bodegas"" como Listo, Tambo, etc"
"661",7,"Excelente",14.92,"Beca",20,"Cafetería Artesanal"
"662",NA,NA,NA,"Ninguno",NA,NA
"663",NA,NA,NA,"Ninguno",NA,NA
"664",NA,NA,NA,"Ninguno",NA,NA
"665",NA,NA,NA,"Ninguno",NA,NA
"666",1,"Puede Mejorar",14.01,"Ninguno",0,"Hago mi propio café"
"667",1,"Bueno",15,"Ninguno",100,"""Bodegas"" como Listo, Tambo, etc"
"668",NA,NA,NA,"Semi-beca",NA,NA
"669",2,"Regular",16,"Ninguno",4,"Cafetería Artesanal"
"670",2,"Bueno",NA,"Ninguno",6,"Starbucks"
"671",2,"Bueno",15.7,"Ninguno",5,"Hago mi propio café"
"672",1,"Bueno",10.5,"Beca",6,"Hago mi propio café"
"673",NA,NA,NA,"Ninguno",NA,NA
"674",2,"Regular",14.3,"Semi-beca",50,"Hago mi propio café"
"675",NA,"Puede Mejorar",15,"Ninguno",4,"""Bodegas"" como Listo, Tambo, etc"
"676",NA,NA,NA,"Beca",NA,NA
"677",2,"Bueno",17,"Ninguno",5,"Hago mi propio café"
"678",1,"Bueno",18,"Ninguno",20,"Cafetería Artesanal"
"679",3,"Regular",15,"Ninguno",6,"""Bodegas"" como Listo, Tambo, etc"
"680",NA,NA,NA,"Ninguno",NA,NA
"681",5,"Regular",13.3,"Ninguno",100,"""Bodegas"" como Listo, Tambo, etc"
"682",3,"Bueno",1,"Semi-beca",25,"""Bodegas"" como Listo, Tambo, etc"
"683",NA,NA,NA,"Ninguno",NA,NA
"684",NA,NA,NA,"Ninguno",NA,NA
"685",NA,NA,NA,"Semi-beca",NA,NA
"686",2,"Regular",13,"Ninguno",0,"Hago mi propio café"
"687",NA,NA,NA,"Ninguno",NA,NA
"688",1,"Bueno",11.89,"Semi-beca",6,"""Bodegas"" como Listo, Tambo, etc"
"689",1,"Excelente",15,"Ninguno",12,"""Bodegas"" como Listo, Tambo, etc"
"690",2,"Excelente",16.5,"Beca",20,"Starbucks"
"691",1,"Bueno",14.64,"Beca",5,"Cafetería Artesanal"
"692",1,"Bueno",13.75,"Beca",5,"""Bodegas"" como Listo, Tambo, etc"
"693",NA,NA,NA,"Beca",NA,NA
"694",1,"Regular",15,"Ninguno",4,"Hago mi propio café"
"695",2,"Regular",13,"Ninguno",15,"Hago mi propio café"
"696",1,"Bueno",14.15,"Semi-beca",20,"Hago mi propio café"
"697",NA,NA,NA,"Ninguno",NA,NA
"698",NA,NA,NA,"Semi-beca",NA,NA
"699",1,"Bueno",15,"Ninguno",15,"Starbucks"
"700",2,"Excelente",17.44,"Ninguno",50,"Hago mi propio café"
"701",3,"Bueno",14,"Ninguno",80,"Hago mi propio café"
"702",2,"Bueno",16.72,"Beca",5,"Hago mi propio café"
"703",NA,NA,NA,"Semi-beca",NA,NA
"704",1,"Bueno",NA,"Ninguno",10,"Hago mi propio café"
"705",1,"Bueno",14.5,"Ninguno",5,"Hago mi propio café"
"706",NA,NA,NA,"Ninguno",NA,NA
"707",NA,NA,NA,"Ninguno",NA,NA
"708",NA,NA,NA,"Ninguno",NA,NA
"709",1,"Bueno",16.6,"Ninguno",0,"Hago mi propio café"
"710",2,"Bueno",NA,"Ninguno",50,"Starbucks"
"711",NA,NA,NA,"Ninguno",NA,NA
"712",NA,NA,NA,"Ninguno",NA,NA
"713",NA,NA,NA,"Semi-beca",NA,NA
"714",NA,NA,NA,"Ninguno",NA,NA
"715",NA,NA,NA,"Beca",NA,NA
"716",NA,NA,NA,"Semi-beca",NA,NA
"717",NA,NA,NA,"Ninguno",NA,NA
"718",2,"Excelente",16,"Ninguno",18,"""Bodegas"" como Listo, Tambo, etc"
"719",3,"Regular",12.32,"Semi-beca",30,"Hago mi propio café"
"720",NA,NA,NA,"Ninguno",NA,NA
"721",1,"Regular",15.62,"Ninguno",20,"Starbucks"
"722",4,"Bueno",16.02,"Ninguno",40,"Hago mi propio café"
"723",1,"Bueno",17,"Beca",20,"Hago mi propio café"
"724",2,"Puede Mejorar",15.2,"Ninguno",35,"Starbucks"
"725",2,"Puede Mejorar",14.7,"Ninguno",40,"Starbucks"
"726",NA,NA,NA,"Ninguno",NA,NA
"727",NA,NA,NA,"Ninguno",NA,NA
"728",5,"Bueno",15.6,"Ninguno",50,"Hago mi propio café"
"729",3,"Excelente",15,"Ninguno",30,"Hago mi propio café"
"730",2,"Bueno",14.45,"Ninguno",20,"Starbucks"
"731",4,"Excelente",14.8,"Semi-beca",40,"Hago mi propio café"
"732",2,"Regular",16,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"733",2,"Bueno",16.45,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"734",1,"Excelente",17.2,"Beca",0,"""Bodegas"" como Listo, Tambo, etc"
"735",NA,NA,NA,"Ninguno",NA,NA
"736",NA,NA,NA,"Ninguno",NA,NA
"737",NA,NA,NA,"Ninguno",NA,NA
"738",1,"Bueno",16.1,"Beca",3,"""Bodegas"" como Listo, Tambo, etc"
"739",2,"Bueno",16.65,"Beca",40,"Cafetería Artesanal"
"740",1,"Bueno",15.25,"Beca",5,"Hago mi propio café"
"741",4,"Excelente",15,"Ninguno",50,"""Bodegas"" como Listo, Tambo, etc"
"742",NA,NA,NA,"Ninguno",NA,NA
"743",2,"Excelente",13.88,"Ninguno",55,"Hago mi propio café"
"744",4,"Bueno",13,"Beca",23,"""Bodegas"" como Listo, Tambo, etc"
"745",1,"Bueno",16.55,"Beca",6,"""Bodegas"" como Listo, Tambo, etc"
"746",NA,NA,NA,"Ninguno",NA,NA
"747",1,"Bueno",13,"Beca",5,"""Bodegas"" como Listo, Tambo, etc"
"748",3,"Bueno",12,"Ninguno",20,"Hago mi propio café"
"749",3,"Bueno",13.2,"Ninguno",20,"Hago mi propio café"
"750",3,"Regular",14.64,"Semi-beca",40,"Starbucks"
"751",1,"Regular",NA,"Ninguno",60,"Hago mi propio café"
"752",5,"Bueno",14,"Ninguno",0,"Hago mi propio café"
"753",2,"Bueno",13,"Ninguno",200,"Starbucks"
"754",NA,NA,NA,"Ninguno",NA,NA
"755",NA,NA,NA,"Ninguno",NA,NA
"756",1,"Regular",16.74,"Ninguno",20,"Hago mi propio café"
"757",NA,NA,NA,"Ninguno",NA,NA
"758",NA,NA,NA,"Ninguno",NA,NA
"759",6,"Bueno",NA,"Beca",5,"Hago mi propio café"
"760",3,"Bueno",15.8,"Beca",2,"Hago mi propio café"
"761",2,"Bueno",17.2,"Ninguno",40,"Hago mi propio café"
"762",1,"Bueno",17.01,"Beca",8,"Hago mi propio café"
"763",1,"Regular",13.65,"Ninguno",5,"Hago mi propio café"
"764",4,"Bueno",14.5,"Ninguno",40,"Hago mi propio café"
"765",1,"Bueno",15,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"766",1,"Puede Mejorar",16.84,"Beca",3,"Starbucks"
"767",2,"Bueno",12.2,"Ninguno",4,"""Bodegas"" como Listo, Tambo, etc"
"768",2,"Puede Mejorar",16.64,"Beca",4,"Hago mi propio café"
"769",NA,NA,NA,"Ninguno",NA,NA
"770",1,"Excelente",16.6,"Ninguno",5,"Hago mi propio café"
"771",1,"Bueno",15.5,"Ninguno",7.5,"Starbucks"
"772",1,"Bueno",NA,"Beca",4,"Hago mi propio café"
"773",1,"Regular",NA,"Beca",3,"Hago mi propio café"
"774",1,"Regular",NA,"Beca",3,"Hago mi propio café"
"775",NA,NA,NA,"Ninguno",NA,NA
"776",NA,NA,NA,"Ninguno",NA,NA
"777",NA,NA,NA,"Beca",NA,NA
"778",4,"Excelente",10.45,"Ninguno",40,"Hago mi propio café"
"779",1,"Regular",19.3,"Ninguno",20,"Starbucks"
"780",3,"Puede Mejorar",NA,"Ninguno",10,"Starbucks"
"781",1,"Excelente",17,"Ninguno",2.5,"Starbucks"
"782",2,"Bueno",13,"Ninguno",20,"""Bodegas"" como Listo, Tambo, etc"
"783",NA,NA,NA,"Ninguno",NA,NA
"784",1,"Bueno",12.8,"Ninguno",4,"Hago mi propio café"
"785",4,"Bueno",18,"Beca",0,"Starbucks"
"786",1,"Bueno",16.9,"Ninguno",0,"Hago mi propio café"
"787",2,"Bueno",14.65,"Ninguno",60,"Cafetería Artesanal"
"788",NA,NA,NA,"Ninguno",NA,NA
"789",NA,NA,NA,"Ninguno",NA,NA
"790",1,"Puede Mejorar",16.55,"Beca",5,"Hago mi propio café"
"791",3,"Bueno",15.6,"Beca",5,"Hago mi propio café"
"792",2,"Excelente",15,"Ninguno",100,"""Bodegas"" como Listo, Tambo, etc"
"793",NA,NA,NA,"Ninguno",NA,NA
"794",NA,"Bueno",12.5,"Beca",0,"Hago mi propio café"
"795",NA,NA,NA,"Ninguno",NA,NA
"796",3,"Bueno",13.2,"Semi-beca",40,"Hago mi propio café"
"797",5,"Regular",12.8,"Ninguno",30,"""Bodegas"" como Listo, Tambo, etc"
"798",NA,NA,NA,"Beca",NA,NA
"799",2,"Bueno",11,"Beca",10,"Hago mi propio café"
"800",1,"Excelente",14.81,"Ninguno",10,"""Bodegas"" como Listo, Tambo, etc"
"801",2,"Bueno",14.68,"Beca",1,"Hago mi propio café"
"802",2,"Excelente",17,"Ninguno",40,"""Bodegas"" como Listo, Tambo, etc"
"803",2,"Puede Mejorar",12,"Semi-beca",15,"""Bodegas"" como Listo, Tambo, etc"
"804",1,"Puede Mejorar",14,"Beca",0,"Hago mi propio café"
"805",NA,NA,NA,"Ninguno",NA,NA
"806",NA,NA,NA,"Ninguno",NA,NA
"807",NA,NA,NA,"Ninguno",NA,NA
"808",NA,NA,NA,"Ninguno",NA,NA
"809",NA,NA,NA,"Beca",NA,NA
"810",NA,NA,NA,"Beca",NA,NA
"811",NA,NA,NA,"Ninguno",NA,NA
"812",1,"Bueno",16.9,"Ninguno",0,"Hago mi propio café"
"813",NA,NA,NA,"Beca",NA,NA
"814",2,"Regular",17.1,"Ninguno",2.5,"Hago mi propio café"
"815",NA,NA,NA,"Ninguno",NA,NA
"816",NA,NA,NA,"Ninguno",NA,NA
"817",2,"Regular",13.5,"Ninguno",12,"""Bodegas"" como Listo, Tambo, etc"
"818",NA,NA,NA,"Beca",NA,NA
"819",NA,NA,NA,"Ninguno",NA,NA
"820",2,"Bueno",11,"Ninguno",2,"Starbucks"
"821",NA,NA,NA,"Ninguno",NA,NA
"822",2,"Bueno",17,"Beca",10,"""Bodegas"" como Listo, Tambo, etc"
"823",NA,NA,NA,"Ninguno",NA,NA
"824",2,"Regular",13.5,"Ninguno",12,"""Bodegas"" como Listo, Tambo, etc"
"825",NA,NA,NA,"Ninguno",NA,NA
"826",NA,"Bueno",NA,"Beca",92,"Hago mi propio café"
"827",1,"Puede Mejorar",12,"Ninguno",1,"Hago mi propio café"
"828",3,"Bueno",13,"Semi-beca",3,"Cafetería Artesanal"
"829",NA,NA,NA,"Ninguno",NA,NA
"830",NA,NA,NA,"Ninguno",NA,NA
"831",NA,NA,NA,"Beca",NA,NA
"832",3,"Excelente",5,"Beca",5,"Starbucks"
"833",NA,NA,NA,"Beca",NA,NA
"834",NA,NA,NA,"Ninguno",NA,NA
"835",NA,NA,NA,"Beca",NA,NA
"836",NA,NA,NA,"Beca",NA,NA
"837",1,"Bueno",13.11,"Beca",5,"Starbucks"
"838",2,"Regular",12,"Beca",5,"Starbucks"
"839",3,"Puede Mejorar",NA,"Ninguno",52.5,"""Bodegas"" como Listo, Tambo, etc"
"840",NA,NA,NA,"Ninguno",NA,NA
"841",NA,NA,NA,"Ninguno",NA,NA
"842",3,"Excelente",18.15,"Beca",48,"Cafetería Artesanal"
"843",NA,"Bueno",13,"Ninguno",50,"Cafetería Artesanal"
